Generation,Solution,Fitness,Constraints,Satisfied Constraints
1,"[0.417, 0.7203, 0.0001, 0.3023, 0.1468, 0.0923, 0.1863, 0.3456, 0.3968, 0.5388]",[3.252272912964028],[],0
1,"[0.4192, 0.6852, 0.2045, 0.8781, 0.0274, 0.6705, 0.4173, 0.5587, 0.1404, 0.1981]",[3.663422173985865],[],0
1,"[0.8007, 0.9683, 0.3134, 0.6923, 0.8764, 0.8946, 0.085, 0.0391, 0.1698, 0.8781]",[3.57486791012655],[],0
1,"[0.0983, 0.4211, 0.9579, 0.5332, 0.6919, 0.3155, 0.6865, 0.8346, 0.0183, 0.7501]",[3.980450829491645],[],0
1,"[0.9889, 0.7482, 0.2804, 0.7893, 0.1032, 0.4479, 0.9086, 0.2936, 0.2878, 0.13]",[3.7283354856064794],[],0
1,"[0.0194, 0.6788, 0.2116, 0.2655, 0.4916, 0.0534, 0.5741, 0.1467, 0.5893, 0.6998]",[3.5099795698988427],[],0
1,"[0.1023, 0.4141, 0.6944, 0.4142, 0.05, 0.5359, 0.6638, 0.5149, 0.9446, 0.5866]",[4.052594581955507],[],0
1,"[0.9034, 0.1375, 0.1393, 0.8074, 0.3977, 0.1654, 0.9275, 0.3478, 0.7508, 0.726]",[3.7630370314342696],[],0
1,"[0.8833, 0.6237, 0.7509, 0.3489, 0.2699, 0.8959, 0.4281, 0.9648, 0.6634, 0.6217]",[4.372325146655431],[],0
1,"[0.1147, 0.9495, 0.4499, 0.5784, 0.4081, 0.237, 0.9034, 0.5737, 0.0029, 0.6171]",[3.9256726906618344],[],0
1,"[0.3266, 0.5271, 0.8859, 0.3573, 0.9085, 0.6234, 0.0158, 0.9294, 0.6909, 0.9973]",[4.174379598668313],[],0
1,"[0.1723, 0.1371, 0.9326, 0.6968, 0.066, 0.7555, 0.7539, 0.923, 0.7115, 0.1243]",[3.575593039365025],[],0
1,"[0.0199, 0.0262, 0.0283, 0.2462, 0.86, 0.5388, 0.5528, 0.842, 0.1242, 0.2792]",[3.1883824608615687],[],0
1,"[0.5858, 0.9696, 0.561, 0.0186, 0.8006, 0.233, 0.8071, 0.3879, 0.8635, 0.7471]",[4.115922386829034],[],0
